id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country,city,icao_code,iata_code,State,timezone
3749,KOLM,medium_airport,Olympia Regional Airport,46.969399,-122.903,209,US,Olympia,KOLM,OLM,WA,America/Los_Angeles
20741,KOLS,medium_airport,Nogales International Airport,31.4177,-110.848,3955,US,Nogales,KOLS,OLS,AZ,America/Phoenix
3750,KOLU,medium_airport,Columbus Municipal Airport,41.448145,-97.340174,1447,US,Columbus,KOLU,OLU,NE,America/Chicago
20751,KONO,medium_airport,Ontario Municipal Airport,44.0198,-117.013289,2193,US,Oregon,KONO,ONO,OR,America/Boise
20752,KONP,medium_airport,Newport Municipal Airport,44.580399,-124.057999,160,US,Newport,KONP,ONP,OR,America/Los_Angeles
20757,KOPF,medium_airport,Miami-Opa Locka Executive Airport,25.907,-80.278397,8,US,Miami,KOPF,OPF,FL,America/New_York
3753,KOQU,medium_airport,Quonset State Airport,41.597099304199,-71.412101745605,18,US,North Kingstown,KOQU,OQU,RI,America/New_York
3756,KORH,medium_airport,Worcester Regional Airport,42.2673,-71.875702,1009,US,Worcester,KORH,ORH,MA,America/New_York
20765,KORL,medium_airport,Orlando Executive Airport,28.5455,-81.332901,113,US,Orlando,KORL,ORL,FL,America/New_York
3757,KOSH,medium_airport,Wittman Regional Airport,43.9844017028808,-88.5569992065429,808,US,Oshkosh,KOSH,OSH,WI,America/Chicago
3758,KOSU,medium_airport,The Ohio State University Airport - Don Scott Field,40.0798,-83.072998,905,US,Columbus,KOSU,OSU,OH,America/New_York
3759,KOTH,medium_airport,Southwest Oregon Regional Airport,43.4170989990234,-124.246002197265,17,US,North Bend,KOTH,OTH,OR,America/Los_Angeles
